JANE,ANDREW
ADA,DERRICK
PAULINE,ALLAN
ANN,STEPHEN
ENID,IVOR
GERTRUDE,VINCENT
RITA,TREVOR
JUNE,BASIL
STELLA,ARNOLD
NORAH,ROLAND
MAVIS,BENJAMIN
THELMA,EDGAR
MILDRED,IAN
BRIDGET,KEITH
MONICA,HUBERT
DAISY,PAUL
ELEANOR,MARTIN
LILLIAN,LIONEL
ALMA,MOHAMMED
LUCY,GRAHAM
DORA,HOWARD
CHRISTINE,ALEC
MAUREEN,GILBERT
JANET,EDMUND
ROSEMARY,IVAN
HANNAH,LEWIS
SYBIL,OWEN
AMY,LAURENCE
MARGARET,JOHN
JEAN,PETER
MARY,WILLIAM
JOAN,BRIAN
PATRICIA,DAVID
SHEILA,JAMES
BARBARA,MICHAEL
DOREEN,RONALD
JUNE,KENNETH
SHIRLEY,GEORGE
DOROTHY,ROBERT
JOYCE,THOMAS
MAUREEN,ALAN
ELIZABETH,DEREK
AUDREY,RAYMOND
BRENDA,ANTHONY
KATHLEEN,ROY
SYLVIA,DONALD
EILEEN,DENNIS
PAMELA,EDWARD
BETTY,GORDON
BERYL,TERENCE
ANN,JOSEPH
IRENE,FREDERICK
JANET,ARTHUR
ANNE,COLIN
RITA,ERIC
PAULINE,RICHARD
MAVIS,CHARLES
IRIS,NORMAN
MARJORIE,LESLIE
VALERIE,PATRICK
DORIS,GEOFFREY
MARION,FRANK
MARINA,ALBERT
CATHERINE,KEITH
VERA,LEONARD
JOSEPHINE,BERNARD
EDNA,STANLEY
LILIAN,GERALD
NORMA,REGINALD
ROSEMARY,FRANCIS
PHYLLIS,MAURICE
HAZEL,DOUGLAS
EVELYN,HENRY
EDITH,MALCOLM
OLIVE,ERNEST
WINIFRED,HAROLD
FLORENCE,ALFRED
RUTH,GRAHAM
ELSIE,HARRY
MURIEL,JACK
MARIE,BARRY
DAPHNE,WALTER
FRANCES,IAN
CHRISTINE,PHILIP
THELMA,CHRISTOPHER
GLADYS,BRYAN
MARIA,TREVOR
GWENDOLINE,CLIFFORD
HILDA,CYRIL
VIOLET,VICTOR
HELEN,PAUL
ROSE,DENIS
CYNTHIA,ALLAN
ALICE,ALEXANDER
GILLIAN,ROGER
ENID,MOHAMMED
ANNIE,SIDNEY
YVONNE,CLIVE
FREDA,DANIEL
ELLEN,LAWRENCE
IVY,HERBERT
JANE,EDWIN
PEGGY,SAMUEL
SARAH,RALPH
MARLENE,DERRICK
NANCY,ABDUL
BRIDGET,ANDREW
DIANA,MARTIN
GRACE,HUGH
TERESA,ROBIN
VERONICA,NEVILLE
AGNES,STEPHEN
ANGELA,VINCENT
CONSTANCE,JEFFREY
JENNIFER,IVOR
MARIAN,DESMOND
JILL,WILFRED
WENDY,SYDNEY
ETHEL,IVAN
JOY,BARRIE
JACQUELINE,ROYSTON
GLORIA,CECIL
LILY,NEIL
MOLLY,NOEL
HEATHER,FRED
MAY,ARNOLD
MONICA,RODNEY
JUDITH,ALEC
MARGARET,JOHN
PATRICIA,DAVID
CHRISTINE,MICHAEL
MARY,PETER
JEAN,ROBERT
ANN,ANTHONY
SUSAN,BRIAN
JANET,ALAN
MAUREEN,WILLIAM
BARBARA,JAMES
VALERIE,RICHARD
CAROL,KENNETH
SANDRA,ROGER
PAULINE,KEITH
ELIZABETH,COLIN
JOAN,CHRISTOPHER
PAMELA,RAYMOND
JENNIFER,TERENCE
KATHLEEN,THOMAS
ANNE,BARRY
SHEILA,GEORGE
BRENDA,GRAHAM
GILLIAN,IAN
LINDA,MALCOLM
JACQUELINE,GEOFFREY
SYLVIA,RONALD
CAROLE,DEREK
EILEEN,PAUL
WENDY,EDWARD
JUDITH,ROY
DOROTHY,PATRICK
JUNE,PHILIP
JOYCE,TREVOR
IRENE,DENNIS
DIANE,LESLIE
ROSEMARY,JOSEPH
ANGELA,BERNARD
DOREEN,CHARLES
SHIRLEY,ERIC
MARION,STEPHEN
RITA,MARTIN
CATHERINE,FREDERICK
YVONNE,NORMAN
JOSEPHINE,GORDON
HELEN,ANDREW
BERYL,FRANK
HAZEL,ARTHUR
FRANCES,RODNEY
JANICE,GERALD
ELAINE,CLIVE
DIANA,JEFFREY
VERONICA,DOUGLAS
JANE,DONALD
MARILYN,FRANCIS
LESLEY,STUART
NORMA,VICTOR
MARIA,ROBIN
HEATHER,ALLAN
GLORIA,LEONARD
MARIE,STANLEY
MARJORIE,ALBERT
HILARY,MAURICE
JILL,HENRY
CYNTHIA,HOWARD
RUTH,HARRY
MAVIS,ALEXANDER
AUDREY,KEVIN
MARLENE,CLIFFORD
BETTY,NIGEL
JULIA,BARRIE
EVELYN,REGINALD
PENELOPE,ERNEST
LYNDA,ALFRED
CHRISTINA,ADRIAN
JEANETTE,HAROLD
CAROLYN,NICHOLAS
IRIS,TIMOTHY
ANITA,MELVYN
DENISE,BRYAN
KAY,NEIL
MARIAN,JACK
VERA,DANIEL
TERESA,LAWRENCE
GEORGINA,HUGH
SALLY,DENIS
SARAH,WALTER
BRIDGET,MOHAMMED
LILIAN,TERRY
MONICA,EDWIN
JOY,RALPH
GLENYS,IVAN
JULIE,BRUCE
VIVIENNE,PHILLIP
DAPHNE,VINCENT
CAROLINE,GARY
PHYLLIS,TONY
GWENDOLINE,SAMUEL
GERALDINE,CYRIL
DORIS,SIDNEY
MURIEL,ROYSTON
SUSAN,DAVID
LINDA,JOHN
CHRISTINE,STEPHEN
MARGARET,MICHAEL
JANET,PETER
PATRICIA,ROBERT
CAROL,PAUL
ELIZABETH,ALAN
MARY,CHRISTOPHER
ANNE,RICHARD
ANN,ANTHONY
JANE,ANDREW
JACQUELINE,IAN
BARBARA,JAMES
SANDRA,WILLIAM
GILLIAN,PHILIP
PAULINE,BRIAN
ELAINE,KEITH
LESLEY,GRAHAM
ANGELA,KEVIN
PAMELA,MARTIN
HELEN,COLIN
JENNIFER,STEVEN
VALERIE,THOMAS
JEAN,KENNETH
CATHERINE,RAYMOND
JULIE,NIGEL
KATHLEEN,GEOFFREY
DENISE,TERENCE
MAUREEN,TREVOR
JUDITH,MALCOLM
WENDY,MARK
DIANE,BARRY
SHEILA,GARY
JANICE,GEORGE
LYNN,NICHOLAS
KAREN,DEREK
YVONNE,CHARLES
LYNNE,PATRICK
SHIRLEY,TIMOTHY
MARION,ROGER
MARIA,LESLIE
ROSEMARY,RONALD
CAROLE,CLIVE
JOAN,EDWARD
MARILYN,NEIL
JUNE,JOSEPH
LORRAINE,JEFFREY
LYNDA,STUART
SALLY,ROY
MARIAN,GORDON
